Area_Name,Latitude,Longitude,Crime_Rate,Lighting,Police_Distance,Time,Crowd_Density,Risk_Level
Golmuri,22.78568,86.173447,5,Good,1.32,Day,High,Medium
Mango,22.827642,86.20129,5,Poor,1.13,Night,Medium,Medium
Bagbera,22.828867,86.230239,4,Good,3.1,Day,Medium,Low
Burma Mines,22.82578,86.177803,5,Poor,3.36,Day,Low,Medium
Jugsalai,22.788146,86.180991,2,Good,0.85,Day,Medium,Low
Sakchi,22.804314,86.201618,4,Good,0.85,Day,High,Low
Sakchi Market,22.803229,86.20242,5,Poor,1.28,Night,Low,High
Jharkhand Colony,22.783984,86.205293,5,Poor,1.64,Night,Low,High
Sitaramdera,22.773505,86.16434,7,Poor,1.21,Night,Low,High
Golmuri,22.78413,86.175299,1,Good,0.99,Day,High,Low
Sakchi Market,22.803755,86.203542,4,Poor,0.8,Day,Medium,Medium
Sidhgora,22.808129,86.191016,6,Poor,0.56,Night,Medium,Medium
Bistupur,22.795186,86.186136,4,Poor,0.53,Night,Low,Medium
Pathargora,22.802589,86.200149,8,Poor,0.61,Night,Low,High
Boram Basti,22.842515,86.216633,1,Good,3.83,Day,Low,Medium
Jharkhand Colony,22.782799,86.205145,5,Poor,2.18,Night,Low,High
Karandih,22.811684,86.208639,7,Poor,2.26,Night,Low,High
Chhota Govindpur,22.75263,86.141916,9,Poor,2.72,Night,Low,High
Golmuri,22.782753,86.175475,9,Good,0.9,Night,Low,High
Dimna,22.744034,86.211729,8,Poor,3.63,Night,Low,High
Agrico,22.776866,86.174578,6,Poor,0.16,Night,Low,High
Adityapur,22.784318,86.133794,7,Poor,0.81,Night,Low,High
Gamharia,22.77023,86.119362,3,Good,1.76,Day,High,Low
Agrico,22.781537,86.175613,4,Poor,1.33,Day,Medium,Medium
Azadnagar,22.807124,86.195752,5,Poor,0.83,Night,Low,High
Sakchi,22.804804,86.200868,2,Good,0.78,Day,High,Low
Bistupur,22.796938,86.189211,4,Poor,1.17,Night,Low,Medium
Sakchi,22.801973,86.203116,5,Poor,0.7,Day,Medium,Medium
Sidhgora,22.808316,86.192259,7,Poor,1.13,Night,Low,High
Sakchi,22.800834,86.203264,4,Good,0.81,Day,High,Low
Sidhgora,22.812595,86.18997,7,Poor,0.85,Night,Low,High
Boram Basti,22.844291,86.220289,5,Poor,4.22,Night,Low,High
Lal Building,22.800589,86.179692,7,Poor,0.7,Night,Low,High
Jugsalai,22.788503,86.180222,2,Good,0.46,Day,Medium,Low
Sakchi Market,22.802673,86.200669,4,Poor,0.56,Day,Medium,Medium
Chhota Govindpur,22.751671,86.136707,7,Poor,2.58,Night,Low,High
Agrico,22.780689,86.17431,3,Good,0.93,Night,High,Low
Bagbera,22.830197,86.229164,8,Good,3.02,Night,Low,High
Lal Building,22.799153,86.183358,3,Poor,0.65,Night,Medium,Medium
Sidhgora More,22.808363,86.192584,3,Good,1.36,Day,High,Low
Sitaramdera,22.77407,86.165911,7,Poor,0.86,Night,Low,High
Jugsalai More,22.786895,86.179317,5,Poor,0.54,Night,Medium,Medium
Dimna,22.740365,86.208854,4,Good,3.0,Day,Medium,Medium
Sitaramdera,22.770614,86.165135,5,Poor,1.91,Day,Low,Medium
Karandih,22.813084,86.211379,5,Good,2.71,Day,Medium,Medium
Adityapur,22.785602,86.134124,7,Poor,0.67,Night,Low,High
Birsa Chowk,22.799311,86.183947,6,Poor,0.1,Night,Low,High
Lal Building,22.799245,86.180201,4,Poor,0.4,Day,Medium,Medium
Bhalubasa,22.761166,86.148306,2,Good,1.58,Day,Medium,Medium
Birsa Chowk,22.799118,86.184169,2,Good,0.21,Day,High,Low
Gamharia,22.771593,86.119892,7,Good,2.38,Night,Low,High
Pathargora,22.801464,86.199642,1,Poor,1.41,Day,High,Low
Sidhgora,22.814568,86.189333,5,Poor,0.37,Night,Medium,Medium
Parsudih,22.800353,86.169441,4,Poor,2.14,Day,Low,Medium
Sonari,22.817645,86.162832,6,Poor,1.49,Night,Low,High
Sakchi Market,22.803461,86.204948,7,Poor,1.46,Night,Low,High
Jharkhand Colony,22.783684,86.206137,5,Poor,2.26,Night,Low,High
Bhalubasa,22.757421,86.150391,8,Poor,1.35,Night,Low,High
Baridih,22.835442,86.183772,6,Poor,2.01,Night,Low,High
Sitaramdera,22.769142,86.162599,5,Poor,0.91,Day,Low,Medium
Chhota Govindpur,22.752243,86.139978,4,Poor,3.11,Night,Low,High
Marine Drive,22.767973,86.161287,6,Poor,1.17,Night,Low,High
Sakchi Market,22.804428,86.203052,7,Poor,0.81,Night,Low,High
Karandih,22.815907,86.211817,5,Poor,2.81,Night,Low,High
Golmuri,22.787556,86.170495,2,Good,0.93,Day,High,Low
Sakchi Market,22.803383,86.203879,2,Good,0.82,Day,High,Low
Bistupur,22.796175,86.188203,1,Good,0.5,Day,High,Low
Golmuri,22.783014,86.171984,7,Poor,1.28,Night,High,High
Sakchi Market,22.803695,86.203085,2,Good,1.48,Day,High,Low
Lal Building,22.798928,86.182254,5,Poor,0.6,Night,Low,High
Kadma,22.814736,86.221972,6,Poor,0.88,Night,Low,High
Gamharia,22.769268,86.121499,2,Good,1.93,Day,High,Low
Golmuri,22.787474,86.174945,10,Poor,0.75,Night,Low,High
Agrico,22.778624,86.170791,6,Poor,1.13,Night,Low,High
Agrico,22.776485,86.172785,5,Poor,0.96,Night,Low,High
Telco,22.76445,86.152574,7,Poor,0.6,Night,Low,High
Sakchi,22.803397,86.203874,7,Poor,0.69,Night,Low,High
Bhalubasa,22.7612,86.150097,8,Poor,1.37,Night,Low,High
Baridih,22.832542,86.183138,5,Good,1.82,Day,Medium,Medium
Golmuri,22.782089,86.173293,4,Good,1.52,Day,Medium,Medium
Bagbera,22.829113,86.228676,4,Good,3.27,Day,Medium,Low
Karandih,22.816024,86.209319,3,Good,3.08,Day,Medium,Medium
Kadma,22.81535,86.222019,3,Good,0.69,Night,Medium,Medium
Agrico,22.780071,86.172335,2,Good,0.93,Day,High,Low
Telco,22.765795,86.155979,7,Poor,0.77,Night,Low,High
Dimna,22.742876,86.211598,3,Good,3.5,Day,Medium,Medium
Parsudih,22.802392,86.170653,9,Poor,2.5,Night,Low,High
Lal Building,22.798283,86.180323,4,Good,0.1,Night,Medium,Medium
Sakchi Market,22.802233,86.204079,1,Good,0.71,Day,High,Low
Burma Mines,22.825655,86.180199,1,Good,2.89,Day,Medium,Low
Mango Bazar,22.829491,86.205329,4,Poor,1.74,Night,Medium,Medium
Chhota Govindpur,22.751902,86.139763,9,Poor,2.96,Night,Low,High
Birsa Chowk,22.799179,86.183872,6,Poor,0.1,Night,Medium,Medium
Boram Basti,22.842372,86.216524,10,Poor,4.36,Night,Low,High
Agrico,22.779407,86.171347,6,Poor,0.84,Night,Medium,High
Marine Drive,22.771248,86.160018,5,Poor,0.3,Night,Low,High
Mango Bazar,22.831293,86.204272,2,Poor,1.43,Day,Medium,Medium
Dimna,22.742337,86.21196,7,Poor,3.88,Night,Low,High
Adityapur,22.785962,86.133472,6,Poor,0.1,Night,Low,High
Bistupur,22.795506,86.187642,3,Good,0.54,Night,Medium,Low
Bistupur,22.796105,86.187544,1,Good,1.05,Day,High,Low
Sakchi,22.808527,86.201947,7,Poor,0.53,Night,Low,High
Sakchi Market,22.805273,86.203104,5,Poor,0.9,Day,Medium,Medium
Sitaramdera,22.772675,86.165544,7,Poor,0.74,Night,Low,High
Sonari,22.817942,86.162213,4,Good,2.37,Night,Medium,Medium
Golmuri,22.78563,86.174837,1,Good,0.97,Day,High,Low
Gamharia,22.77114,86.120923,2,Good,2.02,Day,Medium,Medium
Sitaramdera,22.773151,86.165908,5,Poor,1.67,Day,Low,Medium
Sakchi Market,22.805322,86.200742,4,Poor,1.13,Day,Medium,Medium
Bhalubasa,22.761551,86.149344,4,Good,1.09,Day,High,Low
Adityapur,22.787708,86.134583,5,Poor,0.27,Night,Medium,Medium
Azadnagar,22.806425,86.195348,3,Good,1.17,Day,Medium,Low
Lal Building,22.799828,86.182351,6,Poor,0.18,Night,Medium,High
Jugsalai More,22.788342,86.180517,6,Poor,0.1,Night,Low,High
Sidhgora,22.808644,86.191623,2,Good,0.68,Day,High,Low
Jugsalai More,22.785923,86.178431,6,Poor,0.28,Night,Low,High
Sakchi,22.80452,86.204887,5,Good,1.37,Night,High,Low
Jugsalai More,22.784388,86.180035,1,Good,0.86,Day,High,Low
Parsudih,22.802441,86.168241,9,Poor,2.18,Night,Low,High
Sitaramdera,22.770556,86.164195,4,Poor,0.96,Day,Low,Medium
Chhota Govindpur,22.751293,86.138498,4,Good,2.14,Day,Medium,Low
Baridih,22.83468,86.182389,7,Poor,1.62,Night,Low,High
Agrico,22.778059,86.174016,4,Poor,1.26,Day,Medium,Medium
Sitaramdera,22.771485,86.167971,3,Good,1.98,Day,Medium,Low
Telco,22.764899,86.152574,4,Poor,1.35,Night,Medium,Medium
Karandih,22.814911,86.208574,7,Poor,2.57,Night,Low,High
Jharkhand Colony,22.783329,86.206127,8,Poor,1.75,Night,Low,High
Birsa Chowk,22.79784,86.184932,3,Poor,0.1,Night,Medium,Medium
Baridih,22.836622,86.186252,3,Good,2.72,Day,Medium,Medium
Marine Drive,22.766843,86.159847,4,Good,1.23,Night,Medium,Medium
Bhalubasa,22.759691,86.147129,4,Good,2.14,Day,High,Low
Chhota Govindpur,22.751297,86.139661,5,Poor,3.29,Night,Low,High
Lal Building,22.800628,86.178427,4,Poor,0.1,Night,Medium,Medium
Ulidih,22.787819,86.208285,4,Good,1.97,Day,Low,Medium
Sakchi,22.80385,86.204322,6,Poor,0.57,Day,Medium,Medium
Baridih,22.834846,86.186788,4,Poor,1.97,Day,Medium,Medium
Baridih,22.836605,86.187109,4,Good,1.98,Day,Medium,Medium
Chhota Govindpur,22.752498,86.140661,9,Poor,3.85,Night,Low,High
Pathargora,22.800225,86.196616,7,Poor,0.22,Night,Low,High
Baridih,22.834269,86.184047,4,Good,2.08,Night,High,Low
Lal Building,22.801329,86.183987,4,Poor,0.62,Night,Medium,Medium
Bagbera,22.828199,86.232435,4,Poor,3.1,Day,Low,Medium
Boram Basti,22.841882,86.220044,2,Good,4.24,Day,Low,Medium
Sakchi Market,22.804986,86.201646,8,Poor,0.53,Night,Low,High
Lal Building,22.799421,86.18004,6,Poor,0.44,Night,Medium,Medium
Mango Bazar,22.835044,86.202939,3,Good,1.78,Day,High,Low
Bistupur,22.795781,86.187722,2,Good,0.61,Day,High,Low
Sonari,22.819675,86.164348,5,Good,2.0,Night,Medium,Medium
Lal Building,22.798851,86.182342,3,Poor,0.89,Night,Medium,Medium
Adityapur,22.786592,86.134225,4,Poor,0.83,Night,Medium,Medium
Bistupur,22.797706,86.18781,4,Good,0.52,Night,Medium,Low
Karandih,22.814118,86.2106,2,Good,2.19,Day,Medium,Low
Karandih,22.814918,86.21094,4,Good,2.39,Day,High,Medium
Sonari,22.817657,86.160913,4,Good,1.72,Night,Medium,Medium
Golmuri,22.782383,86.172714,2,Good,1.09,Day,High,Low
Lal Building,22.801555,86.184056,5,Poor,0.23,Night,Medium,Medium
Burma Mines,22.824169,86.175538,2,Good,2.67,Day,Medium,Low
Mango Bazar,22.82738,86.205457,4,Good,1.18,Day,High,Low
Azadnagar,22.808648,86.193134,1,Good,0.42,Day,Medium,Low
Chhota Govindpur,22.750797,86.139123,8,Poor,2.72,Night,Low,High
Parsudih,22.80083,86.170458,4,Poor,1.99,Day,Low,Medium
Gamharia,22.772461,86.120001,3,Good,1.65,Day,Medium,Medium
Jharkhand Colony,22.783787,86.203025,7,Poor,1.76,Night,Low,High
Telco,22.764755,86.15564,5,Poor,0.63,Night,Medium,Medium
Jugsalai More,22.785158,86.180101,8,Poor,0.93,Night,Low,High
Sakchi Market,22.802548,86.201676,1,Good,1.16,Day,High,Low
Sidhgora,22.80975,86.189064,3,Good,0.51,Day,High,Low
Lal Building,22.800544,86.181948,4,Poor,0.25,Night,Medium,Medium
Jharkhand Colony,22.784458,86.204127,3,Good,2.09,Day,Medium,Low
Sidhgora,22.809278,86.193652,4,Good,0.45,Day,High,Low
Kadma,22.81353,86.22104,5,Good,0.33,Night,Medium,Medium
Burma Mines,22.822244,86.177439,6,Poor,3.42,Day,Low,Medium
Bistupur,22.79709,86.186888,5,Poor,0.81,Night,Low,Medium
Bistupur,22.796642,86.190365,2,Good,0.71,Night,Medium,Low
Ulidih,22.79296,86.207541,7,Poor,2.52,Night,Low,High
Gamharia,22.770011,86.120539,2,Good,1.31,Day,High,Low
Jharkhand Colony,22.782586,86.204641,8,Poor,2.37,Night,Low,High
Bistupur,22.796324,86.185565,4,Poor,0.64,Night,Low,Medium
Bistupur,22.795908,86.186471,5,Poor,0.85,Night,Low,Medium
Boram Basti,22.842652,86.218475,3,Good,4.34,Day,Low,Medium
Sidhgora,22.81004,86.188703,10,Poor,0.72,Night,Low,High
Birsa Chowk,22.79711,86.185389,8,Good,0.2,Night,Low,High
Jugsalai More,22.784546,86.182594,6,Poor,0.93,Night,Low,High
Mango Bazar,22.831394,86.203256,3,Good,1.49,Day,High,Low
Bistupur,22.798475,86.18552,1,Good,0.8,Night,High,Low
Mango,22.830519,86.19973,2,Poor,0.94,Day,Medium,Low
Bistupur,22.79762,86.187272,5,Poor,0.31,Day,Low,Medium
Sidhgora,22.811519,86.189472,6,Poor,1.42,Night,High,Medium
Chhota Govindpur,22.7524,86.140228,7,Poor,2.58,Night,Low,High
Sakchi Market,22.803778,86.202469,3,Poor,0.82,Day,Medium,Medium
Telco,22.765293,86.157596,3,Poor,0.79,Night,Medium,Medium
Karandih,22.816811,86.209994,2,Good,2.72,Day,Medium,Low
Telco,22.765795,86.153272,4,Poor,0.84,Night,Medium,Medium
Boram,22.841122,86.221731,7,Poor,3.94,Night,Low,High
Ulidih,22.789306,86.211895,1,Good,2.5,Day,Medium,Low
Bagbera,22.829696,86.230349,5,Poor,2.86,Day,Low,Medium
Ulidih,22.789822,86.20963,5,Poor,2.48,Night,Low,High
Jugsalai,22.788223,86.182034,5,Poor,0.99,Night,Low,High
Burma Mines,22.826752,86.177683,10,Poor,3.37,Night,Low,High
Parsudih,22.797679,86.165916,4,Poor,2.55,Day,Low,Medium
Boram,22.840046,86.220845,5,Poor,5.13,Night,Low,High
Mango Bazar,22.830881,86.204338,8,Poor,1.97,Night,Low,High
Karandih,22.812943,86.212162,5,Good,2.71,Day,Medium,Low
Birsa Chowk,22.800008,86.183904,3,Poor,0.1,Night,Medium,Medium
Kadma,22.812413,86.221739,6,Poor,0.57,Night,Low,High
Jugsalai,22.787764,86.181472,4,Good,1.2,Day,High,Medium
Mango Bazar,22.833773,86.203128,5,Good,2.2,Day,High,Low
Bagbera,22.831515,86.230172,2,Good,3.62,Day,Medium,Low
Jharkhand Colony,22.784862,86.205056,8,Poor,2.17,Night,Low,High
Karandih,22.815571,86.210318,3,Good,2.16,Day,Medium,Low
Gamharia,22.769753,86.121111,8,Poor,2.17,Night,Low,High
Boram Basti,22.844999,86.21983,5,Poor,3.77,Day,Low,High
Bistupur,22.797603,86.186566,3,Good,0.1,Night,Medium,Low
Mango,22.829276,86.200742,6,Poor,1.58,Night,Low,High
Jharkhand Colony,22.7819,86.204366,8,Poor,2.08,Night,Low,High
Agrico,22.77885,86.172151,4,Poor,1.22,Day,Medium,Medium
Mango,22.830316,86.198576,3,Good,1.67,Day,Medium,Low
Sakchi Market,22.802857,86.202036,3,Poor,1.09,Day,Medium,Medium
Boram,22.840643,86.220719,3,Good,3.66,Day,Low,Medium
Mango,22.829996,86.200767,4,Good,1.46,Day,Medium,Low
Mango,22.831196,86.200987,7,Poor,0.97,Night,Low,High
Jugsalai More,22.787663,86.180628,7,Poor,0.1,Night,Low,High
Karandih,22.814088,86.212117,7,Poor,2.86,Night,High,High
Sidhgora,22.810949,86.18937,3,Good,0.44,Day,High,Low
Telco,22.764253,86.153243,6,Poor,1.41,Night,Low,High
Bhalubasa,22.759351,86.147864,4,Good,1.79,Day,Medium,Medium
Burma Mines,22.824202,86.180825,5,Poor,2.78,Day,Low,Medium
Pathargora,22.803696,86.198259,4,Good,0.81,Day,High,Low
Bistupur,22.795979,86.188675,4,Good,0.27,Day,High,Low
Kadma,22.815559,86.223137,6,Poor,0.1,Night,Low,High
Boram Basti,22.844675,86.214452,2,Good,4.24,Day,Low,Medium
Ulidih,22.788892,86.210615,3,Poor,2.04,Day,Low,Medium
Sakchi Market,22.800619,86.202905,7,Poor,0.75,Night,Low,High
Azadnagar,22.807567,86.195599,6,Poor,1.69,Night,Low,High
Parsudih,22.800687,86.16803,8,Poor,1.97,Night,Low,High
Telco,22.763701,86.154114,1,Good,1.23,Day,High,Low
Jugsalai More,22.786117,86.179507,3,Good,0.45,Day,High,Low
Bhalubasa,22.759378,86.147547,2,Good,1.72,Day,High,Low
Mango Bazar,22.832946,86.202264,3,Poor,1.7,Day,Medium,Medium
Golmuri,22.78434,86.173783,4,Good,1.13,Day,Medium,Medium
Jugsalai,22.790225,86.182886,4,Good,0.37,Day,High,Medium
Sakchi Market,22.805741,86.200178,4,Poor,0.63,Day,Medium,Medium
Jharkhand Colony,22.783536,86.202376,5,Poor,2.22,Night,Low,High
Bistupur,22.795814,86.18951,5,Poor,1.12,Night,Low,Medium
Bistupur,22.797242,86.187412,2,Good,0.67,Day,High,Low
Dimna,22.744231,86.209418,4,Good,3.19,Day,Medium,Medium
Kadma,22.814995,86.221233,5,Good,0.72,Night,Medium,Medium
Boram,22.839608,86.220314,3,Poor,4.85,Night,Low,High
Burma Mines,22.825263,86.177214,2,Good,3.04,Day,Medium,Low
Telco,22.765876,86.155759,5,Poor,1.61,Night,High,Medium
Golmuri,22.783524,86.172857,2,Good,0.74,Day,High,Low
Mango Bazar,22.829298,86.202547,4,Poor,1.59,Day,Medium,Medium
Mango,22.829191,86.197678,1,Good,1.72,Day,Medium,Low
Dimna,22.742638,86.211758,4,Good,3.64,Day,Medium,Medium
Gamharia,22.770993,86.119736,10,Poor,1.73,Day,Low,High
Bistupur,22.798288,86.188705,1,Good,0.22,Night,Medium,Low
Mango,22.828366,86.201715,8,Poor,1.85,Night,Low,High
Parsudih,22.800304,86.169825,5,Poor,2.92,Day,High,Medium
Sidhgora,22.809463,86.189988,7,Poor,1.23,Night,Low,High
Telco,22.766192,86.155582,6,Poor,1.73,Night,Low,High
Parsudih,22.800408,86.167558,5,Poor,2.55,Day,Low,Medium
Bagbera,22.829355,86.228243,6,Poor,2.99,Day,Low,Medium
Karandih,22.812882,86.209848,5,Good,3.07,Day,Medium,Medium
Agrico,22.778725,86.17198,6,Poor,1.15,Day,Medium,Medium
Burma Mines,22.824758,86.180138,9,Poor,2.66,Night,Low,High
Pathargora,22.801019,86.200563,7,Poor,0.24,Night,Low,High
Mango Bazar,22.830611,86.201925,6,Poor,1.77,Day,Medium,Medium
Sakchi Market,22.80669,86.201593,6,Poor,0.84,Night,Low,High
Mango Bazar,22.829493,86.2032,5,Poor,1.59,Day,Medium,Medium
Sonari,22.817738,86.161898,3,Good,2.18,Day,Medium,Low
Boram Basti,22.843878,86.218408,5,Poor,4.47,Night,Low,High
Jugsalai,22.788414,86.181203,1,Good,1.17,Day,Medium,Low
Pathargora,22.803005,86.197914,3,Good,0.1,Day,High,Low
Marine Drive,22.770603,86.156774,3,Good,1.39,Night,Medium,Medium
Sidhgora,22.809947,86.18944,8,Poor,0.94,Night,Low,High
Agrico,22.777478,86.173841,6,Poor,0.37,Night,Low,High
Gamharia,22.771247,86.119456,9,Poor,1.77,Night,Low,High
Lal Building,22.801744,86.183855,3,Good,0.11,Day,High,Low
Bhalubasa,22.761626,86.14793,9,Poor,1.41,Night,Low,High
Sidhgora More,22.809222,86.194036,4,Good,1.47,Day,High,Low
Telco,22.766957,86.156728,5,Poor,1.81,Night,Low,High
Boram,22.839463,86.221577,8,Poor,3.71,Night,Low,High
Telco,22.763867,86.153195,6,Poor,1.28,Night,Low,High
Sitaramdera,22.771746,86.165026,6,Poor,1.4,Night,Low,High
Mango,22.831647,86.202834,7,Poor,1.64,Night,Medium,Medium
Dimna,22.743811,86.210409,5,Good,3.64,Day,Medium,Medium
Mango,22.830017,86.201832,6,Poor,1.61,Night,Low,High
Golmuri,22.785356,86.172218,7,Poor,1.59,Night,Low,High
Golmuri,22.78431,86.177178,4,Good,1.39,Day,Medium,Medium
Boram,22.839141,86.218813,2,Good,3.63,Day,Low,Medium
Jugsalai,22.787238,86.178108,5,Poor,0.98,Night,Low,High
Telco,22.765615,86.154473,7,Poor,1.41,Night,Low,High
Dimna,22.742876,86.206329,5,Good,3.61,Day,Medium,Medium
Adityapur,22.783737,86.132572,3,Good,0.9,Day,High,Low
Jharkhand Colony,22.785271,86.208838,6,Poor,1.97,Night,Low,High
Birsa Chowk,22.79828,86.18443,4,Poor,0.37,Night,Medium,Medium
Parsudih,22.803588,86.166858,2,Good,2.54,Day,Medium,Low
Baridih,22.832896,86.185038,2,Good,1.29,Day,High,Low
Burma Mines,22.824729,86.176653,10,Poor,2.97,Night,Low,High
Azadnagar,22.80495,86.197297,1,Good,0.77,Day,Medium,Low
Sidhgora,22.808537,86.188666,6,Poor,0.28,Night,Low,High
Golmuri,22.78337,86.174706,9,Poor,1.5,Night,Low,High
Sonari,22.821656,86.160279,2,Good,1.98,Night,Medium,Medium
Sonari,22.819215,86.165899,5,Good,1.79,Night,Medium,Medium
Mango Bazar,22.829812,86.203755,6,Poor,1.4,Night,Low,High
Mango,22.827657,86.200782,6,Poor,1.6,Night,Medium,Medium
Baridih,22.832418,86.184561,1,Good,2.35,Day,High,Low
Mango Bazar,22.830195,86.20217,4,Good,1.31,Day,High,Low
Baridih,22.834049,86.183859,5,Good,2.0,Day,Medium,Medium
Marine Drive,22.769664,86.158817,2,Good,1.6,Day,High,Low
Mango Bazar,22.827592,86.205517,3,Good,0.92,Day,High,Low
Boram,22.839862,86.219171,6,Poor,3.98,Night,Low,High
Lal Building,22.801542,86.178806,1,Good,0.25,Day,High,Low
Dimna,22.745434,86.208251,4,Good,3.45,Day,Medium,Medium
Mango,22.827558,86.202392,3,Good,1.32,Day,High,Low
Sakchi,22.803398,86.202522,3,Good,0.85,Day,High,Low
Agrico,22.776719,86.172799,7,Poor,1.57,Night,Low,High
Marine Drive,22.770219,86.161755,1,Good,1.19,Day,High,Low
Azadnagar,22.80417,86.194834,4,Poor,1.1,Day,High,Medium
Jugsalai,22.790823,86.182049,7,Poor,1.4,Night,Low,High
Chhota Govindpur,22.752065,86.138998,7,Poor,2.61,Night,Low,High
Boram Basti,22.841815,86.218864,2,Good,4.84,Day,Low,Medium
Baridih,22.837389,86.184413,2,Good,2.0,Day,High,Low
Boram Basti,22.841976,86.217638,6,Poor,4.82,Night,Low,High
Dimna,22.7436,86.21123,2,Good,3.76,Day,Low,Medium
Sakchi,22.803474,86.204022,6,Poor,0.91,Day,Medium,Medium
Mango Bazar,22.828944,86.202752,5,Poor,1.58,Day,Medium,Medium
Burma Mines,22.824084,86.177293,3,Good,2.78,Day,Medium,Low
Parsudih,22.80448,86.171399,6,Poor,2.53,Day,Low,Medium
Boram Basti,22.84295,86.218884,7,Poor,4.51,Night,Low,High
Dimna,22.743412,86.209413,2,Good,3.5,Day,Low,Medium
Sidhgora,22.808535,86.18902,3,Poor,0.59,Night,Medium,Medium
Jugsalai More,22.788367,86.181537,7,Poor,0.71,Night,Medium,Medium
Mango Bazar,22.828963,86.203173,4,Poor,1.95,Day,Medium,Medium
Jharkhand Colony,22.781649,86.204755,5,Poor,2.33,Night,Low,High
Mango Bazar,22.830162,86.203172,4,Good,1.37,Day,High,Low
Lal Building,22.802932,86.182507,4,Poor,0.17,Night,Low,High
Birsa Chowk,22.801847,86.184915,2,Good,0.43,Day,High,Low
Telco,22.764323,86.156806,3,Poor,1.63,Night,Medium,Medium
Birsa Chowk,22.797989,86.186889,5,Poor,0.7,Night,Low,High
Telco,22.762539,86.155798,7,Poor,0.66,Night,Low,High
Boram,22.840117,86.222062,4,Good,3.91,Day,Low,Medium
Jugsalai,22.788543,86.181113,2,Good,0.37,Day,Medium,Low
Sonari,22.820184,86.163035,2,Good,1.71,Day,Medium,Low
Jugsalai More,22.788366,86.181507,3,Poor,1.36,Night,Medium,Medium
Sidhgora,22.809704,86.191529,7,Poor,0.2,Night,Low,High
Jharkhand Colony,22.784834,86.206374,3,Good,1.33,Day,Medium,Low
Boram,22.838949,86.220947,3,Good,3.71,Day,Medium,Medium
